state,x,y

Andhra Pradesh,-120,-120
Arunachal Pradesh,325,214
Assam,279,148
Bihar,84,133
Chhattisgarh,-26,7
Goa,-244,-176
Gujarat,-291,54
Haryana,-182,238
Himachal Pradesh,-145,318
Jharkhand,52,70
Karnataka,-205,-219
Kerala,-172,-325
Madhya Pradesh,-136,59
Maharashtra,-215,-51
Manipur,302,113
Meghalaya,215,126
Mizoram,278,59
Nagaland,323,147
Odisha,43,-28
Punjab,-202,269
Rajasthan,-259,161
Sikkim,154,187
Tamil Nadu,-127,-303
Telangana,-113,-100
Tripura,247,70
Uttar Pradesh,-58,155
Uttarakhand,-106,269
West Bengal,131,50
